Error,Latitude DT,Longitude DT,Lat Trace,Long Trace,Cells
0.059196859,38.74041577,-9.138491917,38.74034002,-9.138491917, 4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
0.123677085,38.74113571,-9.146775896,38.74088441,-9.146775896, 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 
0.068869261,38.74032577,-9.138595778,38.74034002,-9.138595778, 4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
0.137909067,38.74104572,-9.140303201,38.74034002,-9.140303201, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB01729B_CAMPO_PEQUENO_SUBS - 268-1-1729-4LB01729B_CAMPO_PEQUENO_SUBS 
0.081459077,38.73942585,-9.141365004,38.73925124,-9.141365004, 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES   4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF 
0.030195693,38.73924586,-9.14595697,38.73925124,-9.14595697, 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA 
0.053163428,38.7399658,-9.141895626,38.74034002,-9.141895626, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF   4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF 
0.069990175,38.73933585,-9.141699611,38.73925124,-9.141699611, 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES   4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF   4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA 
0.180728983,38.73960583,-9.142195673,38.74061221,-9.142195673, 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF   4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
0.020376397,38.7387959,-9.144284105,38.73897904,-9.144284105, 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 
0.348595175,38.74428546,-9.145794764,38.7474171,-9.145794764, 4G - 4LB00138C_BAIRRO_DE_SAO_MIGUEL - 268-1-138-4LB00138C_BAIRRO_DE_SAO_MIGUEL 4G - 4LB02833A_HOTEL_ALIF - 268-1-2833-4LB02833A_HOTEL_ALIF 
0.135807358,38.73960583,-9.141618794,38.73979563,-9.141618794, 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF   4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
0.074482111,38.73834593,-9.143995745,38.73897904,-9.143995745, 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 
0.078481007,38.74050576,-9.14104173,38.74088441,-9.14104173, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 
0.310941696,38.74176566,-9.146971963,38.74170099,-9.146971963, 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB02833A_HOTEL_ALIF - 268-1-2833-4LB02833A_HOTEL_ALIF   4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF   4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF 
0.172459056,38.73942585,-9.140557377,38.73789026,-9.140557377, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB01729B_CAMPO_PEQUENO_SUBS - 268-1-1729-4LB01729B_CAMPO_PEQUENO_SUBS 
0.32686627,38.74131569,-9.147375841,38.7414288,-9.147375841, 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF 4G - 4LB02833A_HOTEL_ALIF - 268-1-2833-4LB02833A_HOTEL_ALIF 
