Vendor;Tech;NodeId;SiteName;SiteLabel;LocalCellId;LocalCellName;Frequency;Code;Tac;SSS;PSS;RACH;Band;CellAdminState;Node;Sector;Carrier;LiveState;GCI;SiteType;Longitude;Latitude;dlBandwidth;Capacity;AreaName;DlRadioSpeed;UlRadioSpeed;FDDTDD;BandNumber;CellMode;CellId;CellType;CarrierLabel;CellState;SiteStatus;Azimuth;Antenna_Height;MDT;EDT;AntennaReference;HBeamwidth
Ericsson;4G;5031;AVENIDA MARECHAL GOMES DA COSTA - LISBOA;02127;2;4LB05031B_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA;6300;304;5;101;1;822;L800;ACTIVATED;4LB05031;2;6;LIVE;268-1-5031-2;Torre;-9.112;38.75785;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;180;15;2;8;AQU4518R5_180;65
Ericsson;4G;5031;AVENIDA MARECHAL GOMES DA COSTA - LISBOA;02127;3;4LB05031C_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA;6300;305;5;101;2;6;L800;ACTIVATED;4LB05031;3;6;LIVE;268-1-5031-3;Torre;-9.112;38.75785;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;315;20;0;6;AQU4518R5_315;65
Ericsson;4G;16284;CENTRO COMERCIAL OLIVAIS SHOPPING;02182;4;LB16284L04_CENTRO_COMERCIAL_OLIVAIS_SHOPPING;1300;390;5;130;0;200;L1800;ACTIVATED;LB16284;1;7;LIVE;268-1-16284-4;Indoor;-9.114009;38.762163;20 MHz;DL 202Mbps / UL 75.4Mbps;CST;202;75.4;FDD;3;FDD;4;Indoor;2;LIVE;LIVE;0;3;0;0;INDOOR_0;359
Ericsson;4G;16284;CENTRO COMERCIAL OLIVAIS SHOPPING;02182;10;LB16284L10_CENTRO_COMERCIAL_OLIVAIS_SHOPPING;78;390;5;130;0;200;L2100;ACTIVATED;LB16284;1;10;LIVE;268-1-16284-10;Indoor;-9.114009;38.762163;15 MHz;DL 151Mbps / UL 55.1Mbps;CST;151;55.1;FDD;1;FDD;10;Indoor;3;LIVE;LIVE;0;3;0;0;INDOOR_0;359
Ericsson;4G;18966;BAIRRO DO RELOGIO;02203;5;LB18966L05_BAIRRO_DO_RELOGIO;1300;64;5;21;1;570;L1800;ACTIVATED;LB18966;2;7;LIVE;268-1-18966-5;Edificio;-9.12572;38.75947;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;100;20;0;2;ATR4518R2_100;61
Ericsson;4G;18966;BAIRRO DO RELOGIO;02203;6;LB18966L06_BAIRRO_DO_RELOGIO;1300;65;5;21;2;592;L1800;ACTIVATED;LB18966;3;7;LIVE;268-1-18966-6;Edificio;-9.12572;38.75947;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;6;Macro;2;LIVE;LIVE;180;20;3;5;ATR4518R2_180;61
Ericsson;4G;18966;BAIRRO DO RELOGIO;02203;2;LB18966L02_BAIRRO_DO_RELOGIO;6300;64;5;21;1;570;L800;ACTIVATED;LB18966;2;6;LIVE;268-1-18966-2;Edificio;-9.12572;38.75947;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;100;20;0;7;ATR4518R2_100;68
Ericsson;4G;18966;BAIRRO DO RELOGIO;02203;3;LB18966L03_BAIRRO_DO_RELOGIO;6300;65;5;21;2;592;L800;ACTIVATED;LB18966;3;6;LIVE;268-1-18966-3;Edificio;-9.12572;38.75947;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;180;20;3;7;ATR4518R2_180;68
Ericsson;4G;18966;BAIRRO DO RELOGIO;02203;11;LB18966L11_BAIRRO_DO_RELOGIO;78;64;5;21;1;570;L2100;ACTIVATED;LB18966;2;10;LIVE;268-1-18966-11;Edificio;-9.12572;38.75947;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;11;Macro;3;LIVE;LIVE;100;22;2;5;K742264v02_100;61
Ericsson;4G;18966;BAIRRO DO RELOGIO;02203;12;LB18966L12_BAIRRO_DO_RELOGIO;78;65;5;21;2;592;L2100;ACTIVATED;LB18966;3;10;LIVE;268-1-18966-12;Edificio;-9.12572;38.75947;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;12;Macro;3;LIVE;LIVE;190;22;3;5;K742264v02_190;61
Ericsson;4G;479;FEIRA NOVA - CHELAS;02283;4;4LB00479D_FEIRA_NOVA___CHELAS;1300;459;5;153;0;42;L1800;ACTIVATED;4LB00479;1;7;LIVE;268-1-479-4;Edificio com Torre;-9.11695;38.74935;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;4;Macro;2;LIVE;LIVE;310;3;-2;4;AQU4518R5_310;65
Ericsson;4G;479;FEIRA NOVA - CHELAS;02283;5;4LB00479E_FEIRA_NOVA___CHELAS;1300;460;5;153;1;64;L1800;ACTIVATED;4LB00479;2;7;LIVE;268-1-479-5;Edificio com Torre;-9.11695;38.74935;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;100;8;2;4;AQU4518R5_100;65
Ericsson;4G;479;FEIRA NOVA - CHELAS;02283;6;4LB00479F_FEIRA_NOVA___CHELAS;1300;461;5;153;2;86;L1800;ACTIVATED;4LB00479;3;7;LIVE;268-1-479-6;Edificio com Torre;-9.11695;38.74935;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;6;Macro;2;LIVE;LIVE;230;8;-3;5;AQU4518R5_230;65
Ericsson;4G;479;FEIRA NOVA - CHELAS;02283;1;4LB00479A_FEIRA_NOVA___CHELAS;6300;459;5;153;0;42;L800;ACTIVATED;4LB00479;1;6;LIVE;268-1-479-1;Edificio com Torre;-9.11695;38.74935;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;1;Macro;1;LIVE;LIVE;310;3;-2;8;AQU4518R5_310;65
Ericsson;4G;479;FEIRA NOVA - CHELAS;02283;2;4LB00479B_FEIRA_NOVA___CHELAS;6300;460;5;153;1;64;L800;ACTIVATED;4LB00479;2;6;LIVE;268-1-479-2;Edificio com Torre;-9.11695;38.74935;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;100;8;2;10;AQU4518R5_100;65
Ericsson;4G;479;FEIRA NOVA - CHELAS;02283;3;4LB00479C_FEIRA_NOVA___CHELAS;6300;461;5;153;2;86;L800;ACTIVATED;4LB00479;3;6;LIVE;268-1-479-3;Edificio com Torre;-9.11695;38.74935;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;230;8;-3;8;AQU4518R5_230;65
